Index,Series Name,Period,Frequency,Value,Units
162,"Henry Hub Natural Gas Spot Price, Daily",20200318,D,1.73,Dollars per Million Btu
163,"Henry Hub Natural Gas Spot Price, Daily",20200317,D,1.89,Dollars per Million Btu
164,"Henry Hub Natural Gas Spot Price, Daily",20200316,D,1.89,Dollars per Million Btu
165,"Henry Hub Natural Gas Spot Price, Daily",20200315,D,1.94,Dollars per Million Btu
166,"Henry Hub Natural Gas Spot Price, Daily",20200313,D,1.94,Dollars per Million Btu
167,"Henry Hub Natural Gas Spot Price, Daily",20200312,D,1.82,Dollars per Million Btu
168,"Henry Hub Natural Gas Spot Price, Daily",20200311,D,1.96,Dollars per Million Btu
169,"Henry Hub Natural Gas Spot Price, Daily",20200310,D,1.91,Dollars per Million Btu
170,"Henry Hub Natural Gas Spot Price, Daily",20200309,D,1.74,Dollars per Million Btu
171,"Henry Hub Natural Gas Spot Price, Daily",20200308,D,1.76,Dollars per Million Btu
172,"Henry Hub Natural Gas Spot Price, Daily",20200306,D,1.76,Dollars per Million Btu
173,"Henry Hub Natural Gas Spot Price, Daily",20200305,D,1.89,Dollars per Million Btu
174,"Henry Hub Natural Gas Spot Price, Daily",20200304,D,1.83,Dollars per Million Btu
175,"Henry Hub Natural Gas Spot Price, Daily",20200303,D,1.78,Dollars per Million Btu
176,"Henry Hub Natural Gas Spot Price, Daily",20200302,D,1.75,Dollars per Million Btu
177,"Henry Hub Natural Gas Spot Price, Daily",20200301,D,1.79,Dollars per Million Btu
178,"Henry Hub Natural Gas Spot Price, Daily",20200228,D,1.79,Dollars per Million Btu
179,"Henry Hub Natural Gas Spot Price, Daily",20200227,D,1.78,Dollars per Million Btu
180,"Henry Hub Natural Gas Spot Price, Daily",20200226,D,1.96,Dollars per Million Btu
181,"Henry Hub Natural Gas Spot Price, Daily",20200225,D,1.93,Dollars per Million Btu
182,"Henry Hub Natural Gas Spot Price, Daily",20200224,D,1.94,Dollars per Million Btu
183,"Henry Hub Natural Gas Spot Price, Daily",20200221,D,1.96,Dollars per Million Btu
184,"Henry Hub Natural Gas Spot Price, Daily",20200220,D,1.98,Dollars per Million Btu
185,"Henry Hub Natural Gas Spot Price, Daily",20200219,D,2.01,Dollars per Million Btu
186,"Henry Hub Natural Gas Spot Price, Daily",20200218,D,2.04,Dollars per Million Btu
187,"Henry Hub Natural Gas Spot Price, Daily",20200217,D,1.93,Dollars per Million Btu
188,"Henry Hub Natural Gas Spot Price, Daily",20200214,D,1.93,Dollars per Million Btu
189,"Henry Hub Natural Gas Spot Price, Daily",20200213,D,1.95,Dollars per Million Btu
190,"Henry Hub Natural Gas Spot Price, Daily",20200212,D,1.91,Dollars per Million Btu
191,"Henry Hub Natural Gas Spot Price, Daily",20200211,D,1.85,Dollars per Million Btu
192,"Henry Hub Natural Gas Spot Price, Daily",20200210,D,1.85,Dollars per Million Btu
193,"Henry Hub Natural Gas Spot Price, Daily",20200207,D,1.93,Dollars per Million Btu
194,"Henry Hub Natural Gas Spot Price, Daily",20200206,D,1.86,Dollars per Million Btu
195,"Henry Hub Natural Gas Spot Price, Daily",20200205,D,1.89,Dollars per Million Btu
196,"Henry Hub Natural Gas Spot Price, Daily",20200204,D,1.89,Dollars per Million Btu
197,"Henry Hub Natural Gas Spot Price, Daily",20200203,D,1.9,Dollars per Million Btu
198,"Henry Hub Natural Gas Spot Price, Daily",20200131,D,1.91,Dollars per Million Btu
199,"Henry Hub Natural Gas Spot Price, Daily",20200130,D,1.94,Dollars per Million Btu
200,"Henry Hub Natural Gas Spot Price, Daily",20200129,D,1.93,Dollars per Million Btu
201,"Henry Hub Natural Gas Spot Price, Daily",20200128,D,1.96,Dollars per Million Btu
202,"Henry Hub Natural Gas Spot Price, Daily",20200127,D,2.03,Dollars per Million Btu
203,"Henry Hub Natural Gas Spot Price, Daily",20200124,D,1.91,Dollars per Million Btu
204,"Henry Hub Natural Gas Spot Price, Daily",20200123,D,1.95,Dollars per Million Btu
205,"Henry Hub Natural Gas Spot Price, Daily",20200122,D,1.89,Dollars per Million Btu
206,"Henry Hub Natural Gas Spot Price, Daily",20200121,D,1.98,Dollars per Million Btu
207,"Henry Hub Natural Gas Spot Price, Daily",20200117,D,2.07,Dollars per Million Btu
208,"Henry Hub Natural Gas Spot Price, Daily",20200116,D,2.06,Dollars per Million Btu
209,"Henry Hub Natural Gas Spot Price, Daily",20200115,D,2.01,Dollars per Million Btu
210,"Henry Hub Natural Gas Spot Price, Daily",20200114,D,2.15,Dollars per Million Btu
211,"Henry Hub Natural Gas Spot Price, Daily",20200113,D,2.03,Dollars per Million Btu
212,"Henry Hub Natural Gas Spot Price, Daily",20200110,D,2.05,Dollars per Million Btu
213,"Henry Hub Natural Gas Spot Price, Daily",20200109,D,2.05,Dollars per Million Btu
214,"Henry Hub Natural Gas Spot Price, Daily",20200108,D,2.09,Dollars per Million Btu
215,"Henry Hub Natural Gas Spot Price, Daily",20200107,D,2.17,Dollars per Million Btu
216,"Henry Hub Natural Gas Spot Price, Daily",20200106,D,2.1,Dollars per Million Btu
217,"Henry Hub Natural Gas Spot Price, Daily",20200103,D,2.06,Dollars per Million Btu
218,"Henry Hub Natural Gas Spot Price, Daily",20200102,D,2.05,Dollars per Million Btu
219,"Henry Hub Natural Gas Spot Price, Daily",20200101,D,2.09,Dollars per Million Btu
220,"Henry Hub Natural Gas Spot Price, Daily",20191231,D,2.09,Dollars per Million Btu
221,"Henry Hub Natural Gas Spot Price, Daily",20191230,D,2.06,Dollars per Million Btu
222,"Henry Hub Natural Gas Spot Price, Daily",20191227,D,1.75,Dollars per Million Btu
223,"Henry Hub Natural Gas Spot Price, Daily",20191226,D,2.09,Dollars per Million Btu
224,"Henry Hub Natural Gas Spot Price, Daily",20191225,D,2.11,Dollars per Million Btu
225,"Henry Hub Natural Gas Spot Price, Daily",20191224,D,2.11,Dollars per Million Btu
226,"Henry Hub Natural Gas Spot Price, Daily",20191223,D,2.17,Dollars per Million Btu
227,"Henry Hub Natural Gas Spot Price, Daily",20191220,D,2.27,Dollars per Million Btu
228,"Henry Hub Natural Gas Spot Price, Daily",20191219,D,2.21,Dollars per Million Btu
229,"Henry Hub Natural Gas Spot Price, Daily",20191218,D,2.26,Dollars per Million Btu
230,"Henry Hub Natural Gas Spot Price, Daily",20191217,D,2.3,Dollars per Million Btu
231,"Henry Hub Natural Gas Spot Price, Daily",20191216,D,2.34,Dollars per Million Btu
232,"Henry Hub Natural Gas Spot Price, Daily",20191213,D,2.28,Dollars per Million Btu
233,"Henry Hub Natural Gas Spot Price, Daily",20191212,D,2.28,Dollars per Million Btu
234,"Henry Hub Natural Gas Spot Price, Daily",20191211,D,2.28,Dollars per Million Btu
