Index,Series Name,Period,Frequency,Value,Units
214,"Cushing, OK Crude Oil Future Contract 1, Daily",20200106,D,63.27,Dollars per Barrel
215,"Cushing, OK Crude Oil Future Contract 1, Daily",20200103,D,63.05,Dollars per Barrel
216,"Cushing, OK Crude Oil Future Contract 1, Daily",20200102,D,61.18,Dollars per Barrel
217,"Cushing, OK Crude Oil Future Contract 1, Daily",20200101,D,61.06,Dollars per Barrel
218,"Cushing, OK Crude Oil Future Contract 1, Daily",20191231,D,61.06,Dollars per Barrel
219,"Cushing, OK Crude Oil Future Contract 1, Daily",20191230,D,61.68,Dollars per Barrel
220,"Cushing, OK Crude Oil Future Contract 1, Daily",20191227,D,61.72,Dollars per Barrel
221,"Cushing, OK Crude Oil Future Contract 1, Daily",20191226,D,61.68,Dollars per Barrel
222,"Cushing, OK Crude Oil Future Contract 1, Daily",20191225,D,61.11,Dollars per Barrel
223,"Cushing, OK Crude Oil Future Contract 1, Daily",20191224,D,61.11,Dollars per Barrel
224,"Cushing, OK Crude Oil Future Contract 1, Daily",20191223,D,60.52,Dollars per Barrel
225,"Cushing, OK Crude Oil Future Contract 1, Daily",20191220,D,60.44,Dollars per Barrel
226,"Cushing, OK Crude Oil Future Contract 1, Daily",20191219,D,61.22,Dollars per Barrel
227,"Cushing, OK Crude Oil Future Contract 1, Daily",20191218,D,60.93,Dollars per Barrel
228,"Cushing, OK Crude Oil Future Contract 1, Daily",20191217,D,60.94,Dollars per Barrel
229,"Cushing, OK Crude Oil Future Contract 1, Daily",20191216,D,60.21,Dollars per Barrel
230,"Cushing, OK Crude Oil Future Contract 1, Daily",20191213,D,60.07,Dollars per Barrel
231,"Cushing, OK Crude Oil Future Contract 1, Daily",20191212,D,59.18,Dollars per Barrel
232,"Cushing, OK Crude Oil Future Contract 1, Daily",20191211,D,58.76,Dollars per Barrel
233,"Cushing, OK Crude Oil Future Contract 1, Daily",20191210,D,59.24,Dollars per Barrel
234,"Cushing, OK Crude Oil Future Contract 1, Daily",20191209,D,59.02,Dollars per Barrel
235,"Cushing, OK Crude Oil Future Contract 1, Daily",20191206,D,59.2,Dollars per Barrel
236,"Cushing, OK Crude Oil Future Contract 1, Daily",20191205,D,58.43,Dollars per Barrel
237,"Cushing, OK Crude Oil Future Contract 1, Daily",20191204,D,58.43,Dollars per Barrel
238,"Cushing, OK Crude Oil Future Contract 1, Daily",20191203,D,56.1,Dollars per Barrel
239,"Cushing, OK Crude Oil Future Contract 1, Daily",20191202,D,55.96,Dollars per Barrel
240,"Cushing, OK Crude Oil Future Contract 1, Daily",20191128,D,58.11,Dollars per Barrel
241,"Cushing, OK Crude Oil Future Contract 1, Daily",20191127,D,58.11,Dollars per Barrel
242,"Cushing, OK Crude Oil Future Contract 1, Daily",20191126,D,58.41,Dollars per Barrel
243,"Cushing, OK Crude Oil Future Contract 1, Daily",20191125,D,58.01,Dollars per Barrel
244,"Cushing, OK Crude Oil Future Contract 1, Daily",20191122,D,57.77,Dollars per Barrel
245,"Cushing, OK Crude Oil Future Contract 1, Daily",20191121,D,58.58,Dollars per Barrel
246,"Cushing, OK Crude Oil Future Contract 1, Daily",20191120,D,57.11,Dollars per Barrel
247,"Cushing, OK Crude Oil Future Contract 1, Daily",20191119,D,55.21,Dollars per Barrel
248,"Cushing, OK Crude Oil Future Contract 1, Daily",20191118,D,57.05,Dollars per Barrel
249,"Cushing, OK Crude Oil Future Contract 1, Daily",20191115,D,57.72,Dollars per Barrel
250,"Cushing, OK Crude Oil Future Contract 1, Daily",20191114,D,56.77,Dollars per Barrel
251,"Cushing, OK Crude Oil Future Contract 1, Daily",20191113,D,57.12,Dollars per Barrel
252,"Cushing, OK Crude Oil Future Contract 1, Daily",20191112,D,56.8,Dollars per Barrel
253,"Cushing, OK Crude Oil Future Contract 1, Daily",20191111,D,56.86,Dollars per Barrel
254,"Cushing, OK Crude Oil Future Contract 1, Daily",20191108,D,57.24,Dollars per Barrel
255,"Cushing, OK Crude Oil Future Contract 1, Daily",20191107,D,57.15,Dollars per Barrel
256,"Cushing, OK Crude Oil Future Contract 1, Daily",20191106,D,56.35,Dollars per Barrel
257,"Cushing, OK Crude Oil Future Contract 1, Daily",20191105,D,57.23,Dollars per Barrel
258,"Cushing, OK Crude Oil Future Contract 1, Daily",20191104,D,56.54,Dollars per Barrel
259,"Cushing, OK Crude Oil Future Contract 1, Daily",20191101,D,56.2,Dollars per Barrel
260,"Cushing, OK Crude Oil Future Contract 1, Daily",20191031,D,54.18,Dollars per Barrel
