,Series Name,Period,Frequency,Value,Units
239,"Cushing, OK WTI Spot Price FOB, Daily",20191119,D,54.93,Dollars per Barrel
240,"Cushing, OK WTI Spot Price FOB, Daily",20191118,D,56.82,Dollars per Barrel
241,"Cushing, OK WTI Spot Price FOB, Daily",20191115,D,57.54,Dollars per Barrel
242,"Cushing, OK WTI Spot Price FOB, Daily",20191114,D,56.57,Dollars per Barrel
243,"Cushing, OK WTI Spot Price FOB, Daily",20191113,D,56.88,Dollars per Barrel
244,"Cushing, OK WTI Spot Price FOB, Daily",20191112,D,56.67,Dollars per Barrel
245,"Cushing, OK WTI Spot Price FOB, Daily",20191111,D,56.61,Dollars per Barrel
246,"Cushing, OK WTI Spot Price FOB, Daily",20191108,D,57.02,Dollars per Barrel
247,"Cushing, OK WTI Spot Price FOB, Daily",20191107,D,56.91,Dollars per Barrel
248,"Cushing, OK WTI Spot Price FOB, Daily",20191106,D,56.15,Dollars per Barrel
249,"Cushing, OK WTI Spot Price FOB, Daily",20191105,D,57.04,Dollars per Barrel
250,"Cushing, OK WTI Spot Price FOB, Daily",20191104,D,56.33,Dollars per Barrel
251,"Cushing, OK WTI Spot Price FOB, Daily",20191101,D,56.04,Dollars per Barrel
252,"Cushing, OK WTI Spot Price FOB, Daily",20191031,D,54.02,Dollars per Barrel
253,"Cushing, OK WTI Spot Price FOB, Daily",20191030,D,54.85,Dollars per Barrel
254,"Cushing, OK WTI Spot Price FOB, Daily",20191029,D,55.34,Dollars per Barrel
255,"Cushing, OK WTI Spot Price FOB, Daily",20191028,D,55.6,Dollars per Barrel
256,"Cushing, OK WTI Spot Price FOB, Daily",20191025,D,56.52,Dollars per Barrel
257,"Cushing, OK WTI Spot Price FOB, Daily",20191024,D,56.11,Dollars per Barrel
258,"Cushing, OK WTI Spot Price FOB, Daily",20191023,D,55.9,Dollars per Barrel
259,"Cushing, OK WTI Spot Price FOB, Daily",20191022,D,54.21,Dollars per Barrel
260,"Cushing, OK WTI Spot Price FOB, Daily",20191021,D,53.28,Dollars per Barrel
261,"Cushing, OK WTI Spot Price FOB, Daily",20191018,D,53.75,Dollars per Barrel
262,"Cushing, OK WTI Spot Price FOB, Daily",20191017,D,53.89,Dollars per Barrel
263,"Cushing, OK WTI Spot Price FOB, Daily",20191016,D,53.42,Dollars per Barrel
264,"Cushing, OK WTI Spot Price FOB, Daily",20191015,D,52.81,Dollars per Barrel
265,"Cushing, OK WTI Spot Price FOB, Daily",20191014,D,53.57,Dollars per Barrel
266,"Cushing, OK WTI Spot Price FOB, Daily",20191011,D,54.76,Dollars per Barrel
267,"Cushing, OK WTI Spot Price FOB, Daily",20191010,D,53.57,Dollars per Barrel
268,"Cushing, OK WTI Spot Price FOB, Daily",20191009,D,52.63,Dollars per Barrel
269,"Cushing, OK WTI Spot Price FOB, Daily",20191008,D,52.64,Dollars per Barrel
270,"Cushing, OK WTI Spot Price FOB, Daily",20191007,D,52.76,Dollars per Barrel
271,"Cushing, OK WTI Spot Price FOB, Daily",20191004,D,52.84,Dollars per Barrel
272,"Cushing, OK WTI Spot Price FOB, Daily",20191003,D,52.41,Dollars per Barrel
273,"Cushing, OK WTI Spot Price FOB, Daily",20191002,D,52.67,Dollars per Barrel
274,"Cushing, OK WTI Spot Price FOB, Daily",20191001,D,53.6,Dollars per Barrel
275,"Cushing, OK WTI Spot Price FOB, Daily",20190930,D,54.09,Dollars per Barrel
276,"Cushing, OK WTI Spot Price FOB, Daily",20190927,D,55.95,Dollars per Barrel
277,"Cushing, OK WTI Spot Price FOB, Daily",20190926,D,56.24,Dollars per Barrel
278,"Cushing, OK WTI Spot Price FOB, Daily",20190925,D,56.38,Dollars per Barrel
279,"Cushing, OK WTI Spot Price FOB, Daily",20190924,D,57.22,Dollars per Barrel
280,"Cushing, OK WTI Spot Price FOB, Daily",20190923,D,58.69,Dollars per Barrel
281,"Cushing, OK WTI Spot Price FOB, Daily",20190920,D,57.92,Dollars per Barrel
282,"Cushing, OK WTI Spot Price FOB, Daily",20190919,D,58.19,Dollars per Barrel
283,"Cushing, OK WTI Spot Price FOB, Daily",20190918,D,58.19,Dollars per Barrel
284,"Cushing, OK WTI Spot Price FOB, Daily",20190917,D,59.26,Dollars per Barrel
285,"Cushing, OK WTI Spot Price FOB, Daily",20190916,D,63.1,Dollars per Barrel
286,"Cushing, OK WTI Spot Price FOB, Daily",20190913,D,54.76,Dollars per Barrel
287,"Cushing, OK WTI Spot Price FOB, Daily",20190912,D,55.13,Dollars per Barrel
288,"Cushing, OK WTI Spot Price FOB, Daily",20190911,D,55.66,Dollars per Barrel
289,"Cushing, OK WTI Spot Price FOB, Daily",20190910,D,57.37,Dollars per Barrel
290,"Cushing, OK WTI Spot Price FOB, Daily",20190909,D,57.88,Dollars per Barrel
291,"Cushing, OK WTI Spot Price FOB, Daily",20190906,D,56.45,Dollars per Barrel
292,"Cushing, OK WTI Spot Price FOB, Daily",20190905,D,56.33,Dollars per Barrel
293,"Cushing, OK WTI Spot Price FOB, Daily",20190904,D,56.22,Dollars per Barrel
294,"Cushing, OK WTI Spot Price FOB, Daily",20190903,D,53.91,Dollars per Barrel
295,"Cushing, OK WTI Spot Price FOB, Daily",20190902,D,55.07,Dollars per Barrel
296,"Cushing, OK WTI Spot Price FOB, Daily",20190830,D,55.07,Dollars per Barrel
297,"Cushing, OK WTI Spot Price FOB, Daily",20190829,D,56.67,Dollars per Barrel
298,"Cushing, OK WTI Spot Price FOB, Daily",20190828,D,55.76,Dollars per Barrel
299,"Cushing, OK WTI Spot Price FOB, Daily",20190827,D,54.99,Dollars per Barrel
300,"Cushing, OK WTI Spot Price FOB, Daily",20190826,D,53.54,Dollars per Barrel
301,"Cushing, OK WTI Spot Price FOB, Daily",20190823,D,54.08,Dollars per Barrel
