,Series Name,Period,Frequency,Value,Units
291,"U.S. Ending Stocks of Crude Oil, Weekly",20150327,W,1128935,Thousand Barrels
292,"U.S. Ending Stocks of Crude Oil, Weekly",20150320,W,1124169,Thousand Barrels
293,"U.S. Ending Stocks of Crude Oil, Weekly",20150313,W,1116000,Thousand Barrels
294,"U.S. Ending Stocks of Crude Oil, Weekly",20150306,W,1106378,Thousand Barrels
295,"U.S. Ending Stocks of Crude Oil, Weekly",20150227,W,1101201,Thousand Barrels
296,"U.S. Ending Stocks of Crude Oil, Weekly",20150220,W,1090898,Thousand Barrels
297,"U.S. Ending Stocks of Crude Oil, Weekly",20150213,W,1082471,Thousand Barrels
298,"U.S. Ending Stocks of Crude Oil, Weekly",20150206,W,1074756,Thousand Barrels
299,"U.S. Ending Stocks of Crude Oil, Weekly",20150130,W,1070430,Thousand Barrels
300,"U.S. Ending Stocks of Crude Oil, Weekly",20150123,W,1064097,Thousand Barrels
301,"U.S. Ending Stocks of Crude Oil, Weekly",20150116,W,1055224,Thousand Barrels
